종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"241840","에이스토리","KOSDAQ","오락·문화","30500","400","1.33","290718680000"
"312610","에이에프더블류","KOSDAQ","일반전기전자","4970","-150","-2.93","100676733360"
"072990","에이치시티","KOSDAQ","기타서비스","14200","0","0.00","100415555600"
"227100","에이치앤비디자인","KOSDAQ","일반전기전자","6020","20","0.33","64933050420"
"176440","에이치엔티","KOSDAQ","IT부품","1920","0","0.00","164619542400"
"239610","에이치엘사이언스","KOSDAQ","음식료·담배","39450","400","1.02","212718936750"
"353070","에이치엠씨제4호스팩","KOSDAQ","금융","2195","0","0.00","9460450000"
"353060","에이치엠씨제5호스팩","KOSDAQ","금융","2175","-5","-0.23","11125125000"
"044780","에이치케이","KOSDAQ","기계·장비","2605","-40","-1.51","48207575135"
"357230","에이치피오","KOSDAQ","음식료·담배","13900","50","0.36","277140424000"
"071670","에이테크솔루션","KOSDAQ","기계·장비","13450","0","0.00","134500000000"
"045660","에이텍","KOSDAQ","정보기기","13150","-500","-3.66","108619000000"
"224110","에이텍티앤","KOSDAQ","정보기기","12750","-450","-3.41","68085000000"
"230980","에이트원","KOSDAQ","출판·매체복제","1360","15","1.12","84358668880"
"021080","에이티넘인베스트","KOSDAQ","금융","4800","-75","-1.54","230400000000"
"089530","에이티세미콘","KOSDAQ","반도체","2200","195","9.73","95655738200"
"200470","에이팩트","KOSDAQ","반도체","6070","-50","-0.82","112150467230"
"262260","에이프로","KOSDAQ","일반전기전자","17550","-300","-1.68","252719912250"
"109960","에이프로젠 H&G","KOSDAQ","유통","671","1","0.15","119904490607"
"089970","에이피티씨","KOSDAQ","기계·장비","22000","-250","-1.12","521413090000"
"230240","에치에프알","KOSDAQ","통신장비","35150","-900","-2.50","474139263900"
"230360","에코마케팅","KOSDAQ","기타서비스","22200","1300","6.22","717016243800"
"038870","에코바이오","KOSDAQ","기타서비스","7760","60","0.78","90101313440"
"128540","에코캡","KOSDAQ","운송장비·부품","7300","-70","-0.95","106279240000"
"086520","에코프로","KOSDAQ","IT부품","86200","-1800","-2.05","2107665425000"
"247540","에코프로비엠","KOSDAQ","일반전기전자","473700","-800","-0.17","10856951044200"
"383310","에코프로에이치엔","KOSDAQ","화학","51100","-700","-1.35","782082025200"
"038110","에코플라스틱","KOSDAQ","운송장비·부품","2920","70","2.46","99774560400"
"073540","에프알텍","KOSDAQ","통신장비","3265","-30","-0.91","37221000000"
"064850","에프앤가이드","KOSDAQ","기타서비스","9040","30","0.33","109203200000"
"064090","에프앤리퍼블릭","KOSDAQ","유통","3840","415","12.12","42199330560"
