종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","6620","0","0.00","309963592900"
"006840","AK홀딩스","KOSPI","기타금융","23000","-150","-0.65","304693903000"
"027410","BGF","KOSPI","기타금융","5650","70","1.25","540799869150"
"282330","BGF리테일","KOSPI","유통업","179500","-500","-0.28","3102461127000"
"138930","BNK금융지주","KOSPI","기타금융","8040","60","0.75","2620519377840"
"001460","BYC","KOSPI","섬유의복","459000","0","0.00","286698285000"
"001465","BYC우","KOSPI","섬유의복","179000","-500","-0.28","38553915000"
"001040","CJ","KOSPI","기타금융","88400","-400","-0.45","2579246623200"
"079160","CJ CGV","KOSPI","서비스업","28000","250","0.90","1143180472000"
"00104K","CJ4우(전환)","KOSPI","기타금융","76000","100","0.13","321214912000"
"000120","CJ대한통운","KOSPI","운수창고업","125000","-2000","-1.57","2851543000000"
"011150","CJ씨푸드","KOSPI","음식료품","4550","120","2.71","163485017150"
"011155","CJ씨푸드1우","KOSPI","음식료품","40000","0","0.00","8000000000"
"001045","CJ우","KOSPI","기타금융","53400","100","0.19","120695908200"
"097950","CJ제일제당","KOSPI","음식료품","412500","9000","2.23","6209851725000"
"097955","CJ제일제당 우","KOSPI","음식료품","186500","2500","1.36","247566254500"
"000590","CS홀딩스","KOSPI","기타금융","69300","-1200","-1.70","80005602600"
"012030","DB","KOSPI","서비스업","1015","-5","-0.49","204191541995"
"016610","DB금융투자","KOSPI","증권","6690","10","0.15","283966342410"
"005830","DB손해보험","KOSPI","보험","69900","2800","4.17","4948920000000"
"000990","DB하이텍","KOSPI","전기전자","71400","-1800","-2.46","3170059183200"
"000995","DB하이텍1우","KOSPI","전기전자","100000","-1500","-1.48","11231600000"
"139130","DGB금융지주","KOSPI","기타금융","9210","40","0.44","1557833121930"
"001530","DI동일","KOSPI","유통업","26750","-50","-0.19","683951222500"
"000210","DL","KOSPI","기타금융","60200","500","0.84","1261544216800"
"001880","DL건설","KOSPI","건설업","27050","0","0.00","596541332200"
"000215","DL우","KOSPI","기타금융","40350","50","0.12","68034740250"
"375500","DL이앤씨","KOSPI","건설업","60900","800","1.33","1178947144200"
"37550K","DL이앤씨우","KOSPI","건설업","37050","-50","-0.13","78319439250"
"004840","DRB동일","KOSPI","화학","5620","20","0.36","112006600000"
"155660","DSR","KOSPI","철강금속","6290","-30","-0.47","100640000000"
"069730","DSR제강","KOSPI","철강금속","5440","-120","-2.16","78336000000"
"017940","E1","KOSPI","유통업","47600","550","1.17","326536000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","7230","30","0.42","1540633470000"
"383220","F&F","KOSPI","섬유의복","140000","-3000","-2.10","5362990500000"
"007700","F&F홀딩스","KOSPI","기타금융","28300","-400","-1.39","1106936586100"
"114090","GKL","KOSPI","서비스업","15300","-200","-1.29","946391751000"
"078930","GS","KOSPI","기타금융","44100","50","0.11","4097568169800"
"006360","GS건설","KOSPI","건설업","41350","-300","-0.72","3538794611500"
"001250","GS글로벌","KOSPI","유통업","4265","515","13.73","352006503460"
"007070","GS리테일","KOSPI","유통업","28900","-350","-1.20","3026347945800"
"078935","GS우","KOSPI","기타금융","36200","0","0.00","64610701200"
"012630","HDC","KOSPI","기타금융","7340","120","1.66","438504232140"
"039570","HDC랩스","KOSPI","건설업","9800","-90","-0.91","254384489800"
"089470","HDC현대EP","KOSPI","화학","4710","-50","-1.05","150249000000"
"294870","HDC현대산업개발","KOSPI","건설업","15100","300","2.03","995200683000"
"267250","HD현대","KOSPI","화학","58700","-100","-0.17","4636894089500"
"097230","HJ중공업","KOSPI","건설업","8090","-50","-0.61","673688933290"
"003580","HLB글로벌","KOSPI","광업","9110","-290","-3.09","384130775070"
"011200","HMM","KOSPI","운수창고업","27400","-500","-1.79","13399682190400"
